name,roaster,roast,loc_country,origin,100g_USD,rating,review_date,review
Ethiopia Suke Quto,Roast House,Medium-Light,United States,Ethiopia,4.19,92,201711,"Delicate, sweetly spice-toned. Pink peppercorn, date, myrrh, lavender, roasted cacao nib in aroma and cup. Crisp, spice-toned structure with citrus-like acidity; satiny, very smooth mouthfeel. The crisply sweet finish centers around spice and pungent floral notes."
Brazil Carmo de Minas Natural,Big Creek Coffee Roasters,Medium-Light,United States,Brazil,4.56,91,201805," Briskly sweet-tart, fruit-forward. Dark chocolate, maraschino cherry, pipe tobacco, caramel, almond in aroma and cup. Bittersweet instructure with gentle, rounded acidity; full, syrupy mouthfeel. The drying, cocoa-toned finish leads with dark chocolate in the short with maraschino cherry resurfacing in the long. "
Rwanda Bufcafe Remera,Mr. Espresso,Medium,United States,Rwanda,4.26,92,201803,"Balanced and bright with a savory, root-vegetable depth. Lemon verbena, ripe orange zest, roasted cacao nib, rhododendron, a hint of brothy cooked root vegetables in aroma and cup. Structure is quietly sweet/tart with a savory edge; the mouthfeel round, syrupy and full. The finish is richly drying, consolidating around cacao nib and a ripe zesty orange."
Ethiopia Reko,Java Blend Coffee Roasters,Medium-Light,Canada,Ethiopia,3.31,92,201803,"Deeply and richly sweet. Strawberry, peach, sandalwood, almond butter, chrysanthemum in aroma and cup. Sweetly tart structure; crisp, satiny mouthfeel. The quiet finish consolidates around notes of almond and sandalwood."
Ethiopia Gelgelu Natural Organic,Willoughby's Coffee & Tea,Medium-Light,United States,Ethiopia,3.97,93,201711,"High-toned, floral. Dried apricot, magnolia, almond butter, maple syrup, cherry brandy in aroma and cup. Crisp, sweetly-tart in structure; plush, syrupy mouthfeel. Notes of magnolia and dried apricot dominate in the flavor-laden short finish, with hints of almond butter and fruit brandy in the long."
Kenya AA Karamundi,Revel Coffee,Medium-Light,United States,Kenya,4.56,92,201802,"Delicate, sweetly tart. Roasted cacao nib, honeysuckle, tamarind, spearmint, plum in aroma and cup. Balanced structure with brisk acidity; crisp, satiny mouthfeel. Bittersweet in the short finish and sweetly wood-framed in the long."
Perla del Otún,Espresso Republic,Medium-Light,United States,Colombia,4.41,91,201811,"Crisply sweet, balanced. Baker’s chocolate, maple syrup, gardenia, cherry, cedar in aroma and cup. Sweet-tart in structure with brisk acidity; velvety mouthfeel. The finish consolidates to baker’s chocolate and gardenia with hints of cedar."
Rwanda Cyato,Big Creek Coffee Roasters,Medium-Light,United States,Rwanda,4.56,90,201806,"Brightly sweet with a savory depth. Lemon verbena, roasted cacao nib, rhododendron, date, cedar in aroma and cup. Quietly sweet-tart structure; delicate, silky mouthfeel. The finish is richly drying, consolidating around cacao nib and lemon verbena."
La Union (Colombia),Barrington Coffee Roasting,Medium-Light,United States,Colombia,4.54,91,201810,"Crisply sweet, chocolaty. Baker’s chocolate, plum, magnolia, cedar, molasses in aroma and cup. Sweet-toned structure with gentle, round acidity; satiny-smooth mouthfeel. The gently drying finish is redolent with notes of baker’s chocolate and magnolia, with a hint of cedar-like aromatic wood."
Static Chirinos Peru,Espresso Republic,Medium-Light,United States,Peru,4.1,90,201808,"Richly low-toned, gently zesty. Cedar, baker’s chocolate, grapefruit zest, apple, a hint of magnolia-like flowers in aroma and cup. Sweetly and quietly tart in structure, with a brisk edge. Plump mouthfeel. Flavor consolidates in a sweet, though rather drying, finish."
ASOPEP Colombia,JBC Coffee Roasters,Medium-Light,United States,Colombia,4.63,91,201809,"Cocoa-toned, deeply sweet-savory. Dark chocolate, mulberry, dried mushroom, lily- and rhododendron-like floral notes in aroma and cup. Sweetly savory structure with round, gentle acidity; delicate, silky mouthfeel. The finish centers around notes of dark chocolate and vanilla-like florals with an umami undercurrent akin to dried mushroom."
Static Peru Valle de Chingama Peru,Espresso Republic,Medium-Light,United States,Peru,4.1,92,201808,"Deeply pungent and richly sweet. Lavender, baker’s chocolate, oak, ripe fig, a hint of ginger in aroma and cup. Roundly sweet-tart and juicy in structure; full and satiny in mouthfeel. Baker’s chocolate carries distinctly and pleasingly into an otherwise short finish.  "
Guatemala Huehuetenango,Grounds for Change,Medium,United States,Guatemala,3.6,92,201811,"Roasty-sweet, richly chocolaty. Dark chocolate, gently scorched cedar, gardenia, grapefruit zest, roasted almond in aroma and cup. Briskly bittersweet in structure; satiny-smooth in mouthfeel. Notes of dark chocolate and smoky cedar carry the resonant finish."
Colombia Narino Excelsio,Jackrabbit Java,Medium-Light,United States,Colombia,3.53,92,201810,"Balanced, rich-toned, crisply sweet. Baker’s chocolate, plum, hazelnut, maple syrup, wisteria in aroma and cup. Deeply sweet structure with lively acidity; viscous, lightly syrupy mouthfeel. The richly drying finish is cocoa-laden, with supporting notes of stone fruit and nuts."
Guatemala Huehuetenango La Garita,Big Creek Coffee Roasters,Medium-Light,United States,Guatemala,4.41,92,201810,"Crisp, sweetly nut-toned. Almond brittle, lilac, black cherry, fresh-cut fir, agave syrup in aroma and cup. Deeply sweet in structure with brisk acidity; velvety-smooth mouthfeel. Crisp and sweet in the finish, centered around notes of black cherry and almond."
Guatemala Huehuetenango Miralvalle Washed,Crown & Fancy,Medium,Taiwan,Guatemala,5.36,92,201808,"Crisp, sweetly pungent, deep. Dark chocolate, apricot, fresh-cut cedar, narcissus-like flowers, hazelnut in aroma and cup. Brisk but sweet in structure; delicate, silky mouthfeel. Long, flavor-saturated finish consolidates around apricot and flowers. "
Colombia David Gomez 100% Caturra,Manzanita Roasting Company,Light,United States,Colombia,5.0,92,201801,"Crisply sweet, spice-toned. Dried papaya, caramel, tangerine zest, pink-peppercorn, vanilla in aroma and cup. High-toned, sweetly tart in structure with juicy, bright acidity; lean, though satiny-smooth mouthfeel. The resonant, richly drying finish is laden with sweet notes of caramel and papaya in the short, turning more savory-leaning in the long, with hints of pink peppercorn wrapped in vanilla. "
Minas Gerais Isaias Ferreira No. 2,Novel Coffee Roasters,Medium-Light,United States,Brazil,5.29,91,201805,"Delicate, chocolate-toned. Dark chocolate, hazelnut, raisin, hints of lily and oak in aroma and cup. Balanced, sweet-toned structure; satiny-smooth mouthfeel. The long finish is quietly flavor-saturated."
Static Colombia Decaf Midnight,Espresso Republic,Medium,United States,Colombia,4.98,89,201712,"Deeply sweet, chocolate-toned. Dark chocolate, Brazil nut, gardenia, baked apple, cedar in aroma and cup. Roundly sweet in structure; lean, lightly syrupy body. The gently drying finish is characterized by notes of dark chocolate throughout, supported by gardenia and apple tones in the short and cedar in the long. "
Ethiopia Amaro Gayo Natural,Ben's Beans,Medium-Light,United States,Ethiopia,4.98,92,201711,"Deeply sweet, fruit- and cocoa-toned. Baker’s chocolate, dried coconut, tea rose, almond, cedar in aroma and cup. Fruit-toned structure with round, gentle acidity; crisp though syrupy mouthfeel. The spice-toned finish suggests homemade fruitcake, with notes of dried fruit, nuts and warming spices. "
Kenya Nyeri Othaya Gatugi Red Cherry Project AA,Jackrabbit Java,Medium-Dark,United States,Kenya,5.29,92,201711,"Sweetly pungent, gently roasty. Scorched cedar, dark chocolate, plum, lavender, lime zest in aroma and cup. Complex in structure: sweetly tart with a roasty, savory depth. Light, satiny mouthfeel. Lemon zest, dark chocolate, plum carry into a rich though drying finish."
Costa Rica Tirra Natural,Argyle Coffee Roasters,Medium-Light,United States,Costa Rica,5.29,92,201808,"Evaluated as espresso. Fruit-toned, crisply sweet-tart. Ripe strawberry, dark chocolate, pink grapefruit zest, salted caramel, a hint of grapey spirits (think grappa barrel) in aroma and small cup. Velvety-smooth mouthfeel; resonant, long, fruit-toned finish with a continued  suggestion of grappa barrel. In three parts milk, richly sweet with notes of salted caramel and dark chocolate and a hint of berryish fruit."
Mirador Colombia,Lexington Coffee Roasters,Medium-Light,United States,Colombia,4.85,92,201805,"High-toned, crisply sweet. Maple syrup, orange zest, honeysuckle-like flowers, cedar, almond butter in aroma and cup. Sweetly and roundly tart structure; full, satiny mouthfeel. The richly drying finish is redolent of honeysuckle and orange zest in the short, rounding to buttery nut suggestions in the long."
Ethiopia Sidamo Shakiso Danbi Uddo Mulish Natural G1,Evie's Cafe,Medium-Light,Taiwan,Ethiopia,4.93,92,201803,"Fruit-forward, spice-toned. Raspberry jam, clove, rum cordial, fresh-cut fir, dried hibiscus in aroma and cup. Sweetly tart structure with brisk acidity; lightly creamy mouthfeel. Clove and raspberry drive the sweet-toned short finish, while notes of fresh-cut fir reappear in the long."
Long Miles Coffee Project Nkonge Hill Burundi Red Honey,Kakalove Cafe,Medium-Light,Taiwan,Burundi,5.31,92,201806,"Rich-toned, balanced, deeply sweet. Apricot, dark chocolate, hazelnut, citrusy lantana flowers, cinnamon in aroma and cup. Crisply sweet in structure with lively acidity; lightly syrupy mouthfeel. Notes of sweet-tart stone fruit carry into the long finish, supported by dark chocolate and a hint of cinnamon-like spice."
Ethiopia Reko,Temple Coffee and Tea,Medium-Light,United States,Ethiopia,5.58,91,201811,"Crisply sweet-tart. Apricot, sandalwood, maple syrup, orange zest, freesia-like flowers in aroma and cup. Sweet-tart structure with brisk acidity; satiny-smooth mouthfeel. The finish is quietly flavor-saturated, with lead notes of apricot and sandalwood."
Quejina Guatemala,Lexington Coffee Roasters,Medium-Light,United States,Guatemala,5.0,90,201811,"Crisp, sweetly nut-toned. Hazelnut butter, baker’s chocolate, cherry, cedar, freesia-like flowers in aroma and cup. Sweet-toned in structure with brisk acidity; velvety-smooth mouthfeel. The sweet finish consolidates to an inviting nutty chocolate in the short and spice-toned florals in the long."
Decaf Classic Espresso,Espresso Republic,Medium,United States,Colombia,4.98,90,201811,"Evaluated as espresso. Richly sweet, cocoa-toned. Cocoa powder, date, magnolia, molasses, oak in aroma and small cup. Satiny-smooth mouthfeel; resonant, chocolaty finish with notes of magnolia and oak. In three parts milk, floral tones are amplified, and cocoa notes are integrated with roasty-sweet aromatic wood."
Ethiopia Guji,North Coast Coffee Roasting,Medium-Light,United States,Ethiopia,4.76,90,201811,"Crisply sweet, balanced. Baker’s chocolate, apricot, magnolia, cedar, almond in aroma and cup. Sweet-tart in structure with brisk acidity; velvety-smooth mouthfeel. The finish centers around apricot and magnolia in the short, with cedar and baker’s chocolate returning in the long. "
Adanech Ethiopia Guji,Steady State Roasting Company,Light,United States,Ethiopia,5.29,91,201811,"Sweetly herbaceous, richly cocoa-toned. Baker’s chocolate, lemon verbena, toffee, allspice, hazelnut in aroma and cup. Sweet-toned structure with brisk acidity; velvety mouthfeel. The finish leads with lemon verbena and toffee in the short, segueing to spice-toned chocolate and hazelnut in the long."
Guatemala Octavio Lopez,Temple Coffee and Tea,Medium-Light,United States,Guatemala,5.14,92,201810,"Rich, sweet, floral-toned. Honeysuckle, almond, bing cherry, baker’s chocolate, oak in aroma and cup. Sweet-tart structure with round, gentle acidity; satiny-smooth mouthfeel. The gently drying finish consolidates to notes of cherry and baker’s chocolate."
Gayo Aceh Sumatra,JBC Coffee Roasters,Medium-Light,United States,Indonesia,4.7,92,201812,"Richly sweet, spicy, tobacco-toned. Pipe tobacco, almond brittle, ginger blossom, mango, roasted cacao nib in aroma and cup. Sweet-savory structure with gentle, rounded acidity; crisp, satiny mouthfeel. The finish resonates with vanilla-toned pipe tobacco and ginger blossom."
Colombia Luis Alberto Montoya Antioquia,Temple Coffee and Tea,Medium-Light,United States,Colombia,5.44,92,201810,"High-toned, crisply sweet. Date, cashew butter, magnolia, grapefruit zest, cedar in aroma and cup. Sweetly tart in structure with brisk acidity; full, velvety mouthfeel. The resonant finish leads with notes of date and magnolia in the short, rounding to cashew butter and grapefruit zest in the long."
Finca Merced Guatemala,Chocolate Fish Coffee Roasters,Light,United States,Guatemala,5.0,93,201712,"Richly sweet, high-toned. Maple syrup, orange zest, roasted cacao nib, peach, cedar in aroma and cup. Sweet-tart structure; satiny mouthfeel. The resonant finish has a throughline of roasted cacao nib, accompanied by notes of peach and maple syrup in the short and orange zest and cedar in the long. "
Burundi Gitwe Natural Bourbon,Olympia Coffee Roasting,Medium-Light,United States,Burundi,4.52,93,201806,"Richly sweet, crisply tart. Butterscotch, lemon zest, peach, honey, fresh-cut cedar in aroma and cup. Balanced, delicately sweet-tart structure with vibrant acidity; crisp, satiny mouthfeel. The flavor-saturated finish consolidates to notes of butterscotch and lemon zest, with a hint of cedar."
Ethiopia Guji Deri Korcha White Honey,Kakalove Cafe,Light,Taiwan,Ethiopia,3.92,93,201803,"Sweetly pungent, high-toned. Dried apple, orange blossom, toffee, cedar, dark chocolate in aroma and cup. Sweetly tart structure, with juicy acidity; buoyant, silky mouthfeel. The finish is deeply sweet and resonant, with notes of orange blossom and toffee in the short, rounding to chocolate in the long."
Peru Finca Ecológica Agua Colorada,Red Rooster Coffee Roaster,Light,United States,Peru,4.85,93,201802,"Richly sweet, floral-toned. Wisteria, roasted cacao nib, almond, caramel, hint of musk in aroma and cup. Balanced, sweetly tart structure with juicy acidity; crisply velvety mouthfeel. The finish consolidates to a pretty cocoa-toned musk in the short, with almond and caramel resurfacing in the long."
Gaitania Colombia,JBC Coffee Roasters,Medium-Light,United States,Colombia,4.63,93,201802,"Big, round, deeply resonant, layered. Fresh-cut cedar, baker’s chocolate, autumn squash, a hint of thyme in aroma and cup. Sweet-savory, low-toned in structure; full, syrupy in mouthfeel. In the finish most flavor details fade, but a powerful, chocolate-complicated sweetness rings on."
Ethiopia Natural Sidamo Papilio,Kakalove Cafe,Light,Taiwan,Ethiopia,4.25,93,201802,"Delicate but richly intricate. Cocoa, almond paste, lemon verbena, hints of lily and grappa-like spirits in aroma and cup. Savory-sweet and brisk, though juicy in structure. Very lightly syrupy in mouthfeel. The finish is deeply savory-sweet and crisply flavor-saturated. "
Rwanda Remera Kabeza,Durango Coffee Company,Medium,United States,Rwanda,4.98,93,201802,"Roundly and sweetly citrusy. Ripe tangerine, caramel, freesia-like flowers, cedar, a hint perhaps of fresh parsley-like herb in aroma and cup. Sweetly and gently tart, pure and juicy in structure. Very smooth, fullish, satiny mouthfeel. Flavor consolidates in a layered, resonant finish. "
Gaitania Espresso,JBC Coffee Roasters,Medium-Light,United States,Colombia,4.63,93,201804,"Evaluated as espresso. Roundly and sweetly tart/pungent. Baker’s chocolate, almond, cedar, tangerine zest, wisteria-like flowers in aroma and small cup. Syrupy, full mouthfeel. Flavor consolidates in a rather dry though pleasingly chocolate- and cedar-toned finish. Crisp in three-parts milk: dry chocolate and rich floral hints."
Fazenda Recreio Bourbon Pulped Natural,Auto Coffee,Medium-Light,Taiwan,Brazil,3.19,93,201805," Round, balanced, with a quiet but deeply layered complexity. Blackberry, cocoa, pear, lavender, roasted macadamia in aroma and cup. Sweetly and roundly bright in structure; plush and lightly syrupy in mouthfeel. A richly resonant finish consolidates around cocoa, lavender and pear."
Ethiopia,Caffeic,Medium-Light,United States,Ethiopia,4.12,93,201803,"Richly sweet, spice-toned. Dried cherry, lemon zest, baker’s chocolate, cashew, a hint of cayenne in aroma and cup. Delicate, sweetly tart structure with bright acidity; crisp, velvety mouthfeel. The flavor-saturated finish centers on citrus notes and chocolate in the short, with a suggestion of cayenne in the long."
Ethiopia Worka Natural,Red Rooster Coffee Roaster,Medium-Light,United States,Ethiopia,4.85,93,201804,"Richly sweet, fruit-toned. Raspberry jam, almond butter, rhododendron-like flowers, grappa, cocoa powder in aroma and cup. Sweet-tart structure with fruit-forward acidity; plush, syrupy mouthfeel. The finish consolidates around deep raspberry and cocoa notes, with a heady hint of sweet ferment."
Ethiopia Bensa Segra Natural,Big Creek Coffee Roasters,Medium-Light,United States,Ethiopia,4.7,93,201810,"Fruit-forward, richly sweet. Dried blueberry, ginger, hibiscus, cedar, honey in aroma and cup. Sweet-toned in structure with round, gentle acidity; full, viscous mouthfeel. Quiet finish with lingering notes of blueberry and cocoa nib."
Ethiopia Kayon Mountain,Big Creek Coffee Roasters,Medium-Light,United States,Ethiopia,4.7,93,201810,"Intricate, richly sweet. Lemon verbena, raspberry, roasted cacao nib, maple syrup, jasmine in aroma and cup. Sweetly tart structure with crisp acidity; full, syrupy mouthfeel. The flavor-saturated finish centers around lemon verbena and maple syrup."
Ethiopia,Caffeic,Medium-Light,United States,Ethiopia,3.97,93,201810,"Crisply sweet, fruit-toned. Raspberry, roasted cacao nib, honey, fresh-cut fir, freesia-like flowers in aroma and cup. Richly sweet-tart in structure with vibrant acidity; delicate, silky mouthfeel. The long, lasting finish centers around cocoa-toned honey and freesia."
Kenya AA Top Lot,Mystic Monk Coffee,Medium,United States,Kenya,3.51,93,201810,"Sweetly roast-toned, richly chocolaty. Dark chocolate, dried apricot, fine musk, fresh-cut fir, azalea in aroma and cup. Sweet-toned structure with gentle, round acidity; full, syrupy mouthfeel. The resonant finish consolidates to notes of chocolate and dried apricot."
Organic Dulce de Guatemala,Paradise Roasters,Medium-Light,United States,Guatemala,3.51,93,201808,"Spice-toned, richly sweet. Honeysuckle, pistachio, baking spices, apricot, molasses in aroma and cup. Sweet-savory in structure with balanced, lively acidity; plump, syrupy mouthfeel. The resonant finish leads with notes of apricot and honeysuckle in the short, rounding to spice-toned pistachio in the long."
Burundi Nkonge Hill Red Honey,Caffeic,Medium,United States,Burundi,4.41,93,201807,"Sweetly roast-rounded, richly savory. Dark caramel, pipe tobacco, date, almond, hops in aroma and cup. Sweet-savory in structure with rounded acidity; plump, syrupy mouthfeel. The finish leads with notes of date and pipe tobacco in the short, with almond and hops returning in the long. "
Ethiopia Misti Valley,Durango Coffee Company,Medium,United States,Ethiopia,4.98,93,201811,"Crisp, sweetly pungent. Honeysuckle, pomegranate, maple syrup, orange zest, cedar in aroma and cup. Sweet-tart in structure with juicy, bright acidity; velvety mouthfeel. The finish consolidates to notes of pomegranate and cedar with hints of honeysuckle-like florals."
Ethiopia Kayon Mountain,Ben's Beans,Medium-Light,United States,Ethiopia,4.98,93,201811,"Delicately sweet-tart, cocoa-toned. Roasted cacao nib, lemon zest, narcissus, mango, frankincense in aroma and cup. Intricately sweet, high-toned, with bright, juicy acidity; lush, syrupy mouthfeel. The richly sweet finish consolidates to cocoa-toned mango supported by notes of frankincense."
Ethiopia Gugi,Topeca Coffee Roasters,Medium-Light,United States,Ethiopia,4.7,93,201812,"Fruit-toned, richly chocolaty. Dark chocolate, dried blueberry, freesia-like flowers, honey, cedar in aroma and cup. Sweet-tart structure with round, gentle acidity; full, syrupy mouthfeel. The finish consolidates to blueberry and chocolate notes, with a hint of cedar."
Ethiopia Deri Kochoha,States Coffee & Mercantile,Medium-Light,United States,Ethiopia,5.29,93,201808,"Sweetly and gently tart. Lavender, brown sugar, lemon zest, honeydew melon, fresh pipe tobacco in aroma and cup. Delicately sweet-tart and juicy in structure; lightly syrupy in mouthfeel. Flavor consolidates but rings on in a resonant finish."
Guatemala Finca Las Terrazas,States Coffee & Mercantile,Medium-Light,United States,Guatemala,5.29,93,201808,"Sweet yet zesty, vivacious. Honey, peach, ripe lime zest, black tea, a hint of parsley in aroma and cup. Sweetly brisk, lively in structure; light but satiny mouthfeel. Flavor consolidates around floral honey and peach in a crisply sweet-toned finish."
Kenya Ndnunduri,Greater Goods Coffee Roasters,Medium-Light,United States,Kenya,5.0,93,201804,"Richly sweet, spice-toned. Black currant, molasses, amber oil, allspice, wisteria-like flowers in aroma and cup. Deeply sweet structure; smooth, rounded acidity. The finish displays an unusual sweetly musky quality suggesting amber oil, complicated by black currant and wisteria. "
Gedeb Yirgacheffe Ethiopia,Bluebeard Coffee Roasters,Medium-Light,United States,Ethiopia,5.0,93,201804,"Crisp, balanced, richly sweet. Maple syrup, apricot, hop flowers, nougat, roasted cacao nib in aroma and cup. Sweet-savory structure with lively acidity; full, satiny mouthfeel. Notes of maple syrup and apricot pleasantly dominate the finish, with enticing hints of bittersweet, hop-like florals."
Ethiopia Awassa,Paradise Roasters,Medium-Light,United States,Ethiopia,5.28,93,201711,"Crisply sweet, multi-faceted. Candied violet, dark chocolate, pungent juniper wood, grapefruit zest, mango in aroma and cup. Sweetly tart structure with juicy acidity; satiny mouthfeel. The resonant finish centers around mango and violet in the short and dark chocolate in the long, with a hint of aromatic wood."
Ethiopia Kayon Mountain,Red Rooster Coffee Roaster,Light,United States,Ethiopia,5.14,93,201711,"Delicate, richly and sweetly tart. Dried hibiscus, fine musk, almond, sandalwood, raspberry in aroma and cup. Fruit-toned, deeply sweet structure with gently-expressed acidity; buoyant, satiny-smooth mouthfeel. The crisp, flavor-saturated finish is characterized by sweet-tart fruit and floral tones (raspberry, hibiscus)."
Ethiopia Hambela Alaka,Black Oak Coffee Roasters,Medium-Light,United States,Ethiopia,5.14,93,201711,"Very delicate, sweetly savory. Lemon verbena, allspice, dried persimmon, dogwood, baker’s chocolate in aroma and cup. Balanced, sweet-savory structure; velvety-smooth mouthfeel. The sweetly herb-toned finish centers on notes of lemon verbena and dried persimmon wrapped in baker’s chocolate."
Organic Ethiopia Kirite,Wonderstate Coffee,Medium-Light,United States,Ethiopia,5.29,93,201711,"High-toned, crisply sweet. Lemon blossom, apricot, frankincense, spearmint, roasted cacao nib in aroma and cup. Balanced, complete sweet-savory structure; satiny, full mouthfeel. Sweet spearmint notes carry the cocoa-toned finish, with hints of lemon blossom and apricot."
Brazil Fazenda São Bento,Old Soul Co.,Medium-Light,United States,Brazil,5.29,93,201805,"Deeply and sweetly pungent, juicy. Black currant, orange zest, cocoa, lavender, oak in aroma and cup. Sweetly and gently tart in structure, gently savory-edged. Light but silky, lively mouthfeel. Quietly rich finish: orange zest and lavender. "
Ethiopia Yirgacheffe Koke,Argyle Coffee Roasters,Medium-Light,United States,Ethiopia,5.29,93,201804,"Multi-layered, intricate. Raspberry, chocolate fudge, lavender, vanilla, rum cordial in aroma and cup. Sweetly tart in structure with fruit-toned acidity; lightly syrupy mouthfeel. The finish is crisp and richly drying, with notes of chocolate and lavender in the short and fruit-infused rum in the long."
Ethiopia Limu,Big Shoulders Coffee,Medium-Light,United States,Ethiopia,5.29,93,201810,"Bright, rich-toned, deeply sweet. Tangerine zest, almond paste, lemon verbena, honeysuckle, apricot in aroma and cup. Sweetly herbaceous in structure with juicy, bright acidity; crisp, satiny mouthfeel. The citrusy finish is carried by notes of tangerine zest and lemon verbena."
Roba Ethiopia (Chelbessa),Greater Goods Coffee Roasters,Medium-Light,United States,Ethiopia,5.29,93,201810,"Crisply sweet-savory. Coconut, hibiscus, star anise, roasted cacao nib, cedar in aroma and cup. Sweetly tart in structure with bright acidity; delicate, silky mouthfeel. The finish centers around notes of coconut and hibiscus in the short with a hint of star anise in the long."
Alemu Bukato Ethiopia,JBC Coffee Roasters,Medium-Light,United States,Ethiopia,5.51,93,201809,"Deeply rich, crisply sweet-tart. Apricot, pink grapefruit zest, malt, dark chocolate, orange blossom in aroma and cup. Sweet-savory in structure with juicy acidity; satiny-smooth mouthfeel. The nuanced finish leads with notes of apricot and orange blossom in the short, rounding to malt-toned chocolate in the long."
Ethiopia Hambela Hasam,Revel Coffee,Medium-Light,United States,Ethiopia,5.0,93,201810,"Delicately sweet-savory. Lemon verbena, pink peppercorn, dried papaya, honeysuckle, baker’s chocolate in aroma and cup. The structure nicely balances sweet and savory; satiny-smooth mouthfeel. The herb-toned finish leads with notes of lemon verbena and papaya with baker’s chocolate as a throughline."
Ethiopia Kayon Mountain Natural,Lexington Coffee Roasters,Medium-Light,United States,Ethiopia,5.57,93,201808,"Richly sweet, floral-toned. Narcissus-like flowers, almond, maple syrup, apricot, myrrh in aroma and cup. Sweetly tart in structure, with bright, juicy acidity; delicate, silky mouthfeel. The richly drying finish is resonant with notes of amond and myrrh."
Finca Insul Guatemala Pacamara,Augie's Coffee Roasters,Medium-Light,United States,Guatemala,5.29,93,201811,"Delicate, sweetly spice-toned. Salted caramel, black cherry, cinnamon, roasted cashew, clover flower in aroma and cup.  Sweet-savory structure; high-toned, juicy acidity. Fruit-toned finish with hints of cinnamon and clover flower."
Guatemala Hunapu,Temple Coffee and Tea,Medium-Light,United States,Guatemala,5.14,93,201812,"Deeply sweet, rich-toned. Apricot, baker’s chocolate, honeysuckle, oak, agave syrup in aroma and cup. Sweet in structure with brisk acidity; full, syrupy mouthfeel. The finish consolidates to apricot and baker’s chocolate, with hints of honeysuckle."
